POPULATION,GENERATIONS,CROSSOVER,MUTATION,ANGLE,POWER,FITNESS
100,10,0.2,0.2,-65.6617,4.4844,1.34839
100,10,0.2,0.2,-18.8667,6.86666,1.01127
100,10,0.2,0.2,-13.0439,9.64043,1.46053
